,사번,지급일,입사일,퇴사일,퇴직금,지급년도,지급월,총지급액
0,IT200017,,1998-05-21T00:00:00.000,,96259200,,,96259200
1,IT200050,,1998-10-07T00:00:00.000,,46447290,,,46447290
2,IT200063,,1998-10-07T00:00:00.000,,86177230,,,86177230
3,IT200069,,1998-10-16T00:00:00.000,,44173080,,,44173080
4,IT200078,,1998-11-12T00:00:00.000,,40969090,,,40969090
5,IT200154,,1999-03-02T00:00:00.000,,34235160,,,34235160
6,IT200189,,1999-05-24T00:00:00.000,,37177170,,,37177170
7,IT200191,,1999-05-24T00:00:00.000,,33685710,,,33685710
8,IT200196,,1999-05-24T00:00:00.000,,33884700,,,33884700
9,IT200201,,1999-05-24T00:00:00.000,,84098000,,,84098000
10,IT200211,,1999-05-24T00:00:00.000,,37929550,,,37929550
11,IT200233,,1999-05-24T00:00:00.000,,33860010,,,33860010
12,IT200239,,1999-05-24T00:00:00.000,,80402500,,,80402500
13,IT200285,,1999-05-24T00:00:00.000,,30774180,,,30774180
14,IT200306,,1999-05-24T00:00:00.000,,28239510,,,28239510
15,IT200313,,1999-05-24T00:00:00.000,,29263600,,,29263600
16,IT200326,,1999-05-24T00:00:00.000,,69871760,,,69871760
17,IT200342,,1999-05-24T00:00:00.000,,26566350,,,26566350
18,IT200351,,1999-06-05T00:00:00.000,,20809870,,,20809870
19,IT200351,,2004-08-31T00:00:00.000,,37385970,,,37385970
20,IT200503,,1999-06-07T00:00:00.000,,21347730,,,21347730
21,IT200520,,1999-06-07T00:00:00.000,,22513700,,,22513700
22,IT200527,,1999-06-07T00:00:00.000,,23461720,,,23461720
23,IT200530,,1999-06-07T00:00:00.000,,23288620,,,23288620
24,IT200821,,1999-08-09T00:00:00.000,,68857170,,,68857170
25,IT200873,,1999-09-20T00:00:00.000,,13928900,,,13928900
26,IT200920,,1999-09-20T00:00:00.000,,12226850,,,12226850
27,IT201086,,2004-05-03T00:00:00.000,,17007080,,,17007080
28,IT100002,,1998-07-15T00:00:00.000,20030424,25701120,,,25701120
29,IT100005,,2001-11-01T00:00:00.000,20051221,24266040,,,24266040
30,IT100006,,2002-02-06T00:00:00.000,20031231,9779300,,,9779300
31,IT100007,,2002-03-25T00:00:00.000,20030111,,,,
32,IT100008,,2003-02-20T00:00:00.000,20060220,18395460,,,18395460
33,IT100009,,2003-06-11T00:00:00.000,20031231,,,,
34,IT100010,,2004-02-05T00:00:00.000,20070205,18022440,,,18022440
35,IT100011,,2004-02-05T00:00:00.000,20070205,18370500,,,18370500
36,IT100012,,2006-01-20T00:00:00.000,20080212,13361640,,,13361640
37,IT100013,,2006-02-20T00:00:00.000,20090220,21143430,,,21143430
38,IT100014,,2007-02-05T00:00:00.000,20100205,17735010,,,17735010
39,IT100015,,2007-02-05T00:00:00.000,20080212,6895350,,,6895350
40,IT100016,,2008-02-12T00:00:00.000,20110212,18977820,,,18977820
41,IT100017,,2008-02-12T00:00:00.000,20110212,17324400,,,17324400
42,IT100019,,2010-02-16T00:00:00.000,20110117,,,,
43,IT200001,,1998-05-21T00:00:00.000,20030610,45536990,,,45536990
44,IT200002,,1998-05-21T00:00:00.000,20080212,106657010,,,106657010
45,IT200003,,1998-05-21T00:00:00.000,20070205,90466110,,,90466110
46,IT200005,,1998-05-21T00:00:00.000,20080212,97079630,,,97079630
47,IT200009,,1998-05-21T00:00:00.000,20060120,71678270,,,71678270
48,IT200030,,1998-05-21T00:00:00.000,20040804,44173200,,,44173200
49,IT200047,,1998-05-21T00:00:00.000,20070221,62510250,,,62510250
